points,played,won,draw,loss,goals,goals_taken,goals_diff,points_game,goals_game,goals_tak_game,percentage
235,228,58,61,109,227,332,-105,1.03,1.0,1.46,34.36
1158,818,320,198,300,1073,1011,62,1.41,1.3,1.23,47.19
325,304,79,88,137,317,421,-104,1.07,1.04,1.38,35.64
1227,818,338,213,267,1178,1035,143,1.5,1.44,1.26,50.0
271,266,66,73,127,274,415,-141,1.02,1.03,1.56,33.96
555,464,142,129,193,529,614,-85,1.2,1.14,1.31,39.87
1010,734,270,200,264,935,910,25,1.38,1.27,1.24,45.87
308,266,72,92,102,277,317,-40,1.16,1.04,1.19,38.6
287,266,70,77,119,261,362,-101,1.08,0.98,1.36,35.96
1265,818,341,240,237,1053,877,176,1.55,1.28,1.07,51.55
718,590,189,151,250,693,787,-94,1.21,1.17,1.34,40.56
226,206,59,49,98,237,327,-90,1.09,1.14,1.59,36.57
1126,741,317,175,249,1055,891,164,1.52,1.41,1.19,50.65
169,152,40,49,63,134,167,-33,1.11,0.88,1.1,37.06
550,438,142,124,172,530,622,-92,1.25,1.2,1.42,41.86
1349,856,374,231,251,1230,1004,226,1.58,1.44,1.17,52.53
1227,856,334,223,299,1131,1071,60,1.44,1.32,1.24,47.78
471,354,127,90,137,427,460,-33,1.34,1.2,1.29,44.35
769,590,209,142,239,789,839,-50,1.29,1.32,1.42,43.45
1178,776,328,194,254,1063,884,179,1.53,1.37,1.13,50.6
147,130,36,39,55,140,180,-40,1.12,1.06,1.39,37.69
1286,818,357,213,248,1095,889,206,1.57,1.34,1.08,52.4
379,323,96,88,139,381,498,-117,1.16,1.17,1.54,39.11
200,190,54,38,98,224,318,-94,1.05,1.18,1.67,35.09
1250,772,351,197,224,1137,873,264,1.62,1.47,1.13,53.97
304,248,83,55,110,312,369,-57,1.22,1.24,1.48,40.86
146,134,41,31,62,193,245,-52,1.09,1.44,1.84,36.32
432,362,114,91,157,414,534,-120,1.19,1.14,1.47,39.78
259,190,65,64,61,247,228,19,1.36,1.3,1.2,45.44
1237,818,340,217,261,1178,982,196,1.5,1.43,1.2,50.41
500,418,131,107,180,463,568,-105,1.2,1.11,1.36,39.87
215,172,65,41,66,209,199,10,1.24,1.2,1.17,41.67
1383,856,382,237,237,1216,922,294,1.61,1.41,1.07,53.86
862,666,223,193,250,830,937,-107,1.3,1.24,1.4,43.14
515,434,136,107,191,537,633,-96,1.19,1.24,1.45,39.55
